,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
0,68.6,51.5,1016.0,10.0,7.5,12.0,78.1,46.4,0.0,0,0,0,0,0,0,747810_13857,2017-02-11
1,64.4,60.9,1008.8,7.8,18.8,28.0,72.1,61.3,0.08,0,1,0,0,0,0,722090_3875,2017-09-11
2,74.1,57.7,1015.5,9.9,6.4,14.0,84.7,50.4,0.0,0,0,0,0,0,0,722250_13829,2017-04-15
3,79.1,66.4,980.4,9.0,1.8,4.1,88.0,66.2,0.0,1,0,0,0,0,0,747812_63813,2017-09-21
4,79.3,73.4,1017.1,9.4,5.3,12.0,91.9,75.0,0.33,0,1,0,0,0,0,722070_3822,2017-07-26
5,59.3,49.2,987.1,10.0,2.7,8.0,75.9,48.0,0.0,0,0,0,0,0,0,747808_63803,2017-10-21
6,65.4,55.4,985.5,10.0,3.2,9.9,81.0,53.1,0.0,0,0,0,0,0,0,747808_63803,2017-10-05
7,85.5,71.1,1006.1,10.0,1.3,5.1,95.0,75.4,0.0,0,0,0,0,0,0,722175_13860,2017-08-20
8,73.7,62.7,1005.4,9.7,7.1,14.0,82.4,63.7,3.23,0,0,0,0,0,0,722090_3875,2017-09-12
9,78.4,71.5,1005.2,9.7,4.4,13.0,91.9,73.9,0.0,0,0,0,0,0,0,723160_13870,2017-09-06
10,67.5,62.7,1011.0,8.6,4.6,13.0,78.8,59.0,0.0,1,1,0,0,0,0,747810_13857,2017-01-02
11,68.8,59.5,981.8,10.0,3.6,9.9,82.9,53.1,0.0,0,0,0,0,0,0,747808_63803,2017-10-06
12,71.7,59.3,1016.4,10.0,4.2,11.1,82.8,63.0,0.0,0,0,0,0,0,0,722175_13860,2017-10-04
13,63.3,59.2,979.4,9.4,7.3,9.9,75.0,59.0,0.07,0,1,0,0,0,0,722185_53838,2017-04-19
14,74.3,60.4,979.3,10.0,4.1,7.0,82.9,66.2,0.0,0,0,0,0,0,0,747812_63813,2017-08-29
15,73.3,64.3,1015.9,10.0,9.6,17.1,83.7,65.5,0.0,0,0,0,0,0,0,747810_13857,2017-10-04
