f0_,a_stn,a_wban,lat,lon,elev,year,mo,da,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1,747810,13857,30.967,-83.2,+0071.0,2017,02,11,68.6,51.5,1016.0,10.0,7.5,12.0,78.1,46.4,0.0,999.9,0,0,0,0,0,0
2,722090,03875,31.883,-81.567,+0013.7,2017,09,11,64.4,60.9,1008.8,7.8,18.8,28.0,72.1,61.3,0.08,999.9,0,1,0,0,0,0
3,722250,13829,32.35,-85.0,+0070.7,2017,04,15,74.1,57.7,1015.5,9.9,6.4,14.0,84.7,50.4,0.0,999.9,0,0,0,0,0,0
4,747812,63813,34.013,-84.599,+0317.0,2017,09,21,79.1,66.4,980.4,9.0,1.8,4.1,88.0,66.2,0.0,999.9,1,0,0,0,0,0
5,722070,03822,32.131,-81.202,+0014.0,2017,07,26,79.3,73.4,1017.1,9.4,5.3,12.0,91.9,75.0,0.33,999.9,0,1,0,0,0,0
6,747808,63803,33.98,-83.963,+0323.4,2017,10,21,59.3,49.2,987.1,10.0,2.7,8.0,75.9,48.0,0.0,999.9,0,0,0,0,0,0
7,747808,63803,33.98,-83.963,+0323.4,2017,10,05,65.4,55.4,985.5,10.0,3.2,9.9,81.0,53.1,0.0,999.9,0,0,0,0,0,0
8,722175,13860,32.633,-83.6,+0089.6,2017,08,20,85.5,71.1,1006.1,10.0,1.3,5.1,95.0,75.4,0.0,999.9,0,0,0,0,0,0
9,722090,03875,31.883,-81.567,+0013.7,2017,09,12,73.7,62.7,1005.4,9.7,7.1,14.0,82.4,63.7,3.23,999.9,0,0,0,0,0,0
10,723160,13870,31.536,-82.507,+0058.8,2017,09,06,78.4,71.5,1005.2,9.7,4.4,13.0,91.9,73.9,0.0,999.9,0,0,0,0,0,0
11,747810,13857,30.967,-83.2,+0071.0,2017,01,02,67.5,62.7,1011.0,8.6,4.6,13.0,78.8,59.0,0.0,999.9,1,1,0,0,0,0
12,747808,63803,33.98,-83.963,+0323.4,2017,10,06,68.8,59.5,981.8,10.0,3.6,9.9,82.9,53.1,0.0,999.9,0,0,0,0,0,0
13,722175,13860,32.633,-83.6,+0089.6,2017,10,04,71.7,59.3,1016.4,10.0,4.2,11.1,82.8,63.0,0.0,999.9,0,0,0,0,0,0
14,722185,53838,34.272,-83.83,+0388.6,2017,04,19,63.3,59.2,979.4,9.4,7.3,9.9,75.0,59.0,0.07,999.9,0,1,0,0,0,0
15,747812,63813,34.013,-84.599,+0317.0,2017,08,29,74.3,60.4,979.3,10.0,4.1,7.0,82.9,66.2,0.0,999.9,0,0,0,0,0,0
16,747810,13857,30.967,-83.2,+0071.0,2017,10,04,73.3,64.3,1015.9,10.0,9.6,17.1,83.7,65.5,0.0,999.9,0,0,0,0,0,0
17,722137,13878,31.152,-81.391,+0004.9,2017,08,28,77.1,73.9,1009.1,7.4,13.6,22.0,86.0,73.0,0.69,999.9,0,1,0,0,0,0
18,723200,93801,34.348,-85.161,+0194.8,2017,10,09,77.3,75.4,988.7,7.5,2.6,11.1,86.0,72.0,1.84,999.9,0,1,0,0,0,0
19,722090,03875,31.883,-81.567,+0013.7,2017,01,22,62.4,60.0,1000.7,8.5,3.9,14.0,78.6,60.6,2.18,999.9,1,1,0,0,1,0
20,747812,63813,34.013,-84.599,+0317.0,2017,08,30,72.3,66.5,981.1,8.9,4.4,9.9,84.0,66.9,0.0,999.9,0,1,0,0,0,0
